id,name,date,genre,description,backdrop,poster
573164,Eggs Run,2021-08-12,"Animation, Comedy",A rooster and his fowl partner embark on a dangerous trip to the Congo to recover their stolen eggs from a group of Russian goons.,/uHmvk8FnoxpgujDU0RIXLkv2fNt.jpg,/wrlQnKHLCBheXMNWotyr5cVDqNM.jpg
581726,Infinite,2021-06-10,"Science Fiction, Action, Thriller","Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",/tUwgWj9EUK70qqkIlkwzMejc9wJ.jpg,/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg
685274,Mobile Suit Gundam Hathaway,2021-06-11,"Animation, Action, Drama, Science Fiction","After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",/mI0Qo7VtgW5siCtQQqNPXIk0Ar6.jpg,/6gw8onh4FKsruBA7Oouv01EFxzn.jpg
399566,Godzilla vs. Kong,2021-03-24,"Action, Adventure, Fantasy","In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",/inJjDhCjfhh3RtrJWBmmDqeuSYC.jpg,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg
672322,Rurouni Kenshin: The Beginning,2021-06-04,"Action, Adventure, Drama","Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",/heMC3jAjQPNSlr1n9mZKUQ58EOE.jpg,/rODS466qSdrwMlGdbUwPENhDN2c.jpg
861057,Swim,2021-08-13,"Horror, Action","A family gets trapped in their storm flooded vacation rental, tries to escape from a hungry shark that made it's way into the house.",/leDpP52W54kQvIxBd93G8lgTLCx.jpg,/pBSqH6avxduNAnXhyIkcAfcUMJ0.jpg
19995,Avatar,2009-12-10,"Action, Adventure, Fantasy, Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",/AmHOQ7rpHwiaUMRjKXztnauSJb7.jpg,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
602223,The Forever Purge,2021-06-30,"Horror, Action, Thriller",All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,/tehpKMsls621GT9WUQie2Ft6LmP.jpg,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg
726684,Miraculous World: Shanghai – The Legend of Ladydragon,2021-04-04,"Animation, Comedy, Family, Adventure","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",/rlNnwObbMu5G2FaOUlacnUIdIIA.jpg,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg
597433,Beckett,2021-08-04,"Action, Adventure, Crime, Drama, Thriller, Mystery","While vacationing in Greece, Beckett, becomes the target of a manhunt after a devastating car accident forces him to run for his life across the country to clear his name but tensions escalate as the authorities close in and political unrest mounts which makes Beckett fall even deeper into a dangerous web of conspiracy.",/lzLzKXq2C0kL5Pu7VW5sNl5KV6L.jpg,/fBJducGBcmrcIOQdhm4BUBNDiMu.jpg
